Experiment_#,[L2M]_0,[D]_0,[L]_0,T_finish,T1/2,Reaction_Extent,Product_Yield,Side_Product_Yield/%
22,1.0000e+00,2.0000e+00,5.0000e+00,7.3720e+03,8.8098e+02,9.8900e+01,8.4900e+01,1.3800e+01
23,1.0000e+00,2.0000e+00,7.5000e+00,9.9332e+03,1.3148e+03,9.8370e+01,8.4500e+01,1.3700e+01
24,1.0000e+00,2.0000e+00,1.0000e+01,1.2204e+04,1.7486e+03,9.7830e+01,8.4100e+01,1.3600e+01
25,1.0000e+00,2.0000e+00,1.2500e+01,1.4262e+04,2.1824e+03,9.7300e+01,8.3700e+01,1.3600e+01
26,1.0000e+00,2.0000e+00,1.5000e+01,1.4400e+04,2.6163e+03,9.5510e+01,8.2200e+01,1.3200e+01
27,1.0000e+00,2.0000e+00,1.7500e+01,1.4400e+04,3.0502e+03,9.3370e+01,8.0400e+01,1.2900e+01
28,1.0000e+00,2.0000e+00,2.0000e+01,1.4400e+04,3.4841e+03,9.1070e+01,7.8500e+01,1.2500e+01
29,1.0000e+00,2.0000e+00,2.2500e+01,1.4400e+04,3.9179e+03,8.8720e+01,7.6600e+01,1.2100e+01
30,1.0000e+00,2.5000e+00,0.0000e+00,3.7405e+02,2.6230e+01,9.9980e+01,8.0500e+01,1.0000e+01
31,1.0000e+00,2.5000e+00,2.5000e+00,3.5771e+03,3.6138e+02,9.9600e+01,8.8300e+01,1.0900e+01
32,1.0000e+00,2.5000e+00,5.0000e+00,6.1066e+03,7.0883e+02,9.9220e+01,8.8100e+01,1.0900e+01
33,1.0000e+00,2.5000e+00,7.5000e+00,8.2976e+03,1.0565e+03,9.8830e+01,8.7900e+01,1.0800e+01
34,1.0000e+00,2.5000e+00,1.0000e+01,1.0268e+04,1.4042e+03,9.8450e+01,8.7600e+01,1.0800e+01
35,1.0000e+00,2.5000e+00,1.2500e+01,1.2076e+04,1.7519e+03,9.8070e+01,8.7300e+01,1.0700e+01
36,1.0000e+00,2.5000e+00,1.5000e+01,1.3754e+04,2.0996e+03,9.7690e+01,8.6900e+01,1.0700e+01
37,1.0000e+00,2.5000e+00,1.7500e+01,1.4400e+04,2.4473e+03,9.6720e+01,8.6100e+01,1.0600e+01
38,1.0000e+00,2.5000e+00,2.0000e+01,1.4400e+04,2.7950e+03,9.5180e+01,8.4800e+01,1.0400e+01
39,1.0000e+00,2.5000e+00,2.2500e+01,1.4400e+04,3.1428e+03,9.3470e+01,8.3300e+01,1.0100e+01
40,1.0000e+00,3.0000e+00,0.0000e+00,3.3802e+02,2.4180e+01,9.9980e+01,8.2300e+01,8.2000e+00
41,1.0000e+00,3.0000e+00,2.5000e+00,3.0386e+03,3.0366e+02,9.9690e+01,9.0300e+01,9.0000e+00
42,1.0000e+00,3.0000e+00,5.0000e+00,5.2156e+03,5.9338e+02,9.9400e+01,9.0200e+01,8.9000e+00
43,1.0000e+00,3.0000e+00,7.5000e+00,7.1232e+03,8.8325e+02,9.9100e+01,9.0000e+01,8.9000e+00
44,1.0000e+00,3.0000e+00,1.0000e+01,8.8548e+03,1.1732e+03,9.8800e+01,8.9800e+01,8.9000e+00
45,1.0000e+00,3.0000e+00,1.2500e+01,1.0455e+04,1.4631e+03,9.8510e+01,8.9600e+01,8.9000e+00
46,1.0000e+00,3.0000e+00,1.5000e+01,1.1952e+04,1.7530e+03,9.8210e+01,8.9300e+01,8.8000e+00
47,1.0000e+00,3.0000e+00,1.7500e+01,1.3362e+04,2.0430e+03,9.7920e+01,8.9100e+01,8.8000e+00
48,1.0000e+00,3.0000e+00,2.0000e+01,1.4400e+04,2.3329e+03,9.7450e+01,8.8600e+01,8.8000e+00
49,1.0000e+00,3.0000e+00,2.2500e+01,1.4400e+04,2.6229e+03,9.6290e+01,8.7600e+01,8.6000e+00
50,1.0000e+00,3.5000e+00,0.0000e+00,3.1318e+02,2.2700e+01,9.9980e+01,8.3500e+01,6.9000e+00
51,1.0000e+00,3.5000e+00,2.5000e+00,2.6489e+03,2.6231e+02,9.9750e+01,9.1700e+01,7.6000e+00
52,1.0000e+00,3.5000e+00,5.0000e+00,4.5602e+03,5.1067e+02,9.9510e+01,9.1700e+01,7.6000e+00
53,1.0000e+00,3.5000e+00,7.5000e+00,6.2488e+03,7.5917e+02,9.9270e+01,9.1500e+01,7.6000e+00
54,1.0000e+00,3.5000e+00,1.0000e+01,7.7914e+03,1.0077e+03,9.9030e+01,9.1400e+01,7.6000e+00
55,1.0000e+00,3.5000e+00,1.2500e+01,9.2251e+03,1.2562e+03,9.8790e+01,9.1200e+01,7.5000e+00
56,1.0000e+00,3.5000e+00,1.5000e+01,1.0572e+04,1.5048e+03,9.8550e+01,9.0900e+01,7.5000e+00
57,1.0000e+00,3.5000e+00,1.7500e+01,1.1847e+04,1.7533e+03,9.8310e+01,9.0700e+01,7.5000e+00
58,1.0000e+00,3.5000e+00,2.0000e+01,1.3061e+04,2.0019e+03,9.8070e+01,9.0500e+01,7.5000e+00
59,1.0000e+00,3.5000e+00,2.2500e+01,1.4221e+04,2.2505e+03,9.7830e+01,9.0300e+01,7.5000e+00
60,1.0000e+00,4.0000e+00,0.0000e+00,2.9511e+02,2.1590e+01,9.9990e+01,8.4500e+01,6.0000e+00
61,1.0000e+00,4.0000e+00,2.5000e+00,2.3545e+03,2.3126e+02,9.9790e+01,9.2800e+01,6.6000e+00
62,1.0000e+00,4.0000e+00,5.0000e+00,4.0594e+03,4.4856e+02,9.9590e+01,9.2800e+01,6.6000e+00
63,1.0000e+00,4.0000e+00,7.5000e+00,5.5750e+03,6.6598e+02,9.9380e+01,9.2700e+01,6.6000e+00
64,1.0000e+00,4.0000e+00,1.0000e+01,6.9661e+03,8.8344e+02,9.9180e+01,9.2500e+01,6.6000e+00
65,1.0000e+00,4.0000e+00,1.2500e+01,8.2644e+03,1.1009e+03,9.8980e+01,9.2300e+01,6.6000e+00
66,1.0000e+00,4.0000e+00,1.5000e+01,9.4885e+03,1.3184e+03,9.8770e+01,9.2200e+01,6.5000e+00
67,1.0000e+00,4.0000e+00,1.7500e+01,1.0651e+04,1.5358e+03,9.8570e+01,9.2000e+01,6.5000e+00
68,1.0000e+00,4.0000e+00,2.0000e+01,1.1761e+04,1.7533e+03,9.8370e+01,9.1800e+01,6.5000e+00
69,1.0000e+00,4.0000e+00,2.2500e+01,1.2825e+04,1.9708e+03,9.8170e+01,9.1600e+01,6.5000e+00
70,1.0000e+00,4.5000e+00,0.0000e+00,2.8139e+02,2.0730e+01,9.9990e+01,8.5200e+01,5.3000e+00
71,1.0000e+00,4.5000e+00,2.5000e+00,2.1243e+03,2.0709e+02,9.9820e+01,9.3600e+01,5.8000e+00
72,1.0000e+00,4.5000e+00,5.0000e+00,3.6645e+03,4.0022e+02,9.9640e+01,9.3600e+01,5.8000e+00
73,1.0000e+00,4.5000e+00,7.5000e+00,5.0404e+03,5.9345e+02,9.9470e+01,9.3500e+01,5.8000e+00
74,1.0000e+00,4.5000e+00,1.0000e+01,6.3080e+03,7.8672e+02,9.9290e+01,9.3400e+01,5.8000e+00
75,1.0000e+00,4.5000e+00,1.2500e+01,7.4947e+03,9.8000e+02,9.9120e+01,9.3200e+01,5.8000e+00
76,1.0000e+00,4.5000e+00,1.5000e+01,8.6168e+03,1.1733e+03,9.8940e+01,9.3100e+01,5.8000e+00
77,1.0000e+00,4.5000e+00,1.7500e+01,9.6851e+03,1.3666e+03,9.8770e+01,9.2900e+01,5.8000e+00
78,1.0000e+00,4.5000e+00,2.0000e+01,1.0707e+04,1.5598e+03,9.8590e+01,9.2800e+01,5.8000e+00
79,1.0000e+00,4.5000e+00,2.2500e+01,1.1689e+04,1.7531e+03,9.8420e+01,9.2600e+01,5.8000e+00
80,1.0000e+00,5.0000e+00,0.0000e+00,2.7064e+02,2.0030e+01,9.9990e+01,8.5700e+01,4.8000e+00
81,1.0000e+00,5.0000e+00,2.5000e+00,1.9393e+03,1.8774e+02,9.9840e+01,9.4200e+01,5.2000e+00
82,1.0000e+00,5.0000e+00,5.0000e+00,3.3451e+03,3.6153e+02,9.9690e+01,9.4300e+01,5.2000e+00
83,1.0000e+00,5.0000e+00,7.5000e+00,4.6059e+03,5.3541e+02,9.9530e+01,9.4200e+01,5.2000e+00
84,1.0000e+00,5.0000e+00,1.0000e+01,5.7710e+03,7.0933e+02,9.9380e+01,9.4100e+01,5.2000e+00
85,1.0000e+00,5.0000e+00,1.2500e+01,6.8645e+03,8.8325e+02,9.9220e+01,9.3900e+01,5.2000e+00
86,1.0000e+00,5.0000e+00,1.5000e+01,7.9008e+03,1.0572e+03,9.9070e+01,9.3800e+01,5.2000e+00
87,1.0000e+00,5.0000e+00,1.7500e+01,8.8895e+03,1.2311e+03,9.8920e+01,9.3700e+01,5.2000e+00
88,1.0000e+00,5.0000e+00,2.0000e+01,9.8373e+03,1.4050e+03,9.8760e+01,9.3500e+01,5.2000e+00
89,1.0000e+00,5.0000e+00,2.2500e+01,1.0749e+04,1.5790e+03,9.8610e+01,9.3400e+01,5.2000e+00
90,1.0000e+00,5.5000e+00,0.0000e+00,2.6202e+02,1.9470e+01,9.9990e+01,8.6200e+01,4.3000e+00
91,1.0000e+00,5.5000e+00,2.5000e+00,1.7875e+03,1.7191e+02,9.9860e+01,9.4700e+01,4.7000e+00
92,1.0000e+00,5.5000e+00,5.0000e+00,3.0814e+03,3.2987e+02,9.9720e+01,9.4800e+01,4.7000e+00
93,1.0000e+00,5.5000e+00,7.5000e+00,4.2457e+03,4.8792e+02,9.9580e+01,9.4700e+01,4.7000e+00
94,1.0000e+00,5.5000e+00,1.0000e+01,5.3245e+03,6.4600e+02,9.9440e+01,9.4600e+01,4.7000e+00
95,1.0000e+00,5.5000e+00,1.2500e+01,6.3390e+03,8.0408e+02,9.9310e+01,9.4500e+01,4.7000e+00
96,1.0000e+00,5.5000e+00,1.5000e+01,7.3023e+03,9.6217e+02,9.9170e+01,9.4400e+01,4.7000e+00
97,1.0000e+00,5.5000e+00,1.7500e+01,8.2228e+03,1.1203e+03,9.9030e+01,9.4300e+01,4.7000e+00
98,1.0000e+00,5.5000e+00,2.0000e+01,9.1067e+03,1.2783e+03,9.8900e+01,9.4100e+01,4.7000e+00
99,1.0000e+00,5.5000e+00,2.2500e+01,9.9586e+03,1.4364e+03,9.8760e+01,9.4000e+01,4.7000e+00
100,1.5000e+00,1.5000e+00,0.0000e+00,7.8920e+02,4.1490e+01,9.9940e+01,7.0100e+01,2.2000e+01
101,1.5000e+00,1.5000e+00,2.5000e+00,7.3501e+03,6.4170e+02,9.8860e+01,7.5100e+01,2.3300e+01
102,1.5000e+00,1.5000e+00,5.0000e+00,1.1899e+04,1.2692e+03,9.7780e+01,7.4700e+01,2.2900e+01
103,1.5000e+00,1.5000e+00,7.5000e+00,1.4400e+04,1.8972e+03,9.6070e+01,7.3700e+01,2.2300e+01
104,1.5000e+00,1.5000e+00,1.0000e+01,1.4400e+04,2.5252e+03,9.2650e+01,7.1600e+01,2.1000e+01
105,1.5000e+00,1.5000e+00,1.2500e+01,1.4400e+04,3.1534e+03,8.9080e+01,6.9300e+01,1.9700e+01
106,1.5000e+00,1.5000e+00,1.5000e+01,1.4400e+04,3.7816e+03,8.5590e+01,6.7000e+01,1.8500e+01
107,1.5000e+00,1.5000e+00,1.7500e+01,1.4400e+04,4.4098e+03,8.2270e+01,6.4800e+01,1.7400e+01
108,1.5000e+00,1.5000e+00,2.0000e+01,1.4400e+04,5.0380e+03,7.9140e+01,6.2700e+01,1.6400e+01
109,1.5000e+00,1.5000e+00,2.2500e+01,1.4400e+04,5.6662e+03,7.6220e+01,6.0600e+01,1.5500e+01
110,1.5000e+00,2.2500e+00,0.0000e+00,5.3954e+02,3.2040e+01,9.9980e+01,7.9100e+01,1.3000e+01
111,1.5000e+00,2.2500e+00,2.5000e+00,5.0060e+03,4.2409e+02,9.9560e+01,8.5200e+01,1.4000e+01
112,1.5000e+00,2.2500e+00,5.0000e+00,8.4715e+03,8.3390e+02,9.9140e+01,8.5000e+01,1.3900e+01
113,1.5000e+00,2.2500e+00,7.5000e+00,1.1427e+04,1.2440e+03,9.8720e+01,8.4700e+01,1.3900e+01
114,1.5000e+00,2.2500e+00,1.0000e+01,1.4054e+04,1.6543e+03,9.8300e+01,8.4400e+01,1.3800e+01
115,1.5000e+00,2.2500e+00,1.2500e+01,1.4400e+04,2.0645e+03,9.6830e+01,8.3200e+01,1.3500e+01
116,1.5000e+00,2.2500e+00,1.5000e+01,1.4400e+04,2.4748e+03,9.4880e+01,8.1700e+01,1.3100e+01
117,1.5000e+00,2.2500e+00,1.7500e+01,1.4400e+04,2.8851e+03,9.2730e+01,8.0000e+01,1.2700e+01
118,1.5000e+00,2.2500e+00,2.0000e+01,1.4400e+04,3.2954e+03,9.0490e+01,7.8200e+01,1.2300e+01
119,1.5000e+00,2.2500e+00,2.2500e+01,1.4400e+04,3.7057e+03,8.8230e+01,7.6300e+01,1.1900e+01
120,1.5000e+00,3.0000e+00,0.0000e+00,4.2777e+02,2.7360e+01,9.9980e+01,8.3000e+01,9.2000e+00
121,1.5000e+00,3.0000e+00,2.5000e+00,3.7052e+03,3.1750e+02,9.9740e+01,8.9400e+01,9.9000e+00
122,1.5000e+00,3.0000e+00,5.0000e+00,6.3687e+03,6.2077e+02,9.9490e+01,8.9400e+01,9.9000e+00
123,1.5000e+00,3.0000e+00,7.5000e+00,8.7018e+03,9.2428e+02,9.9240e+01,8.9200e+01,9.9000e+00
124,1.5000e+00,3.0000e+00,1.0000e+01,1.0819e+04,1.2278e+03,9.8990e+01,8.9100e+01,9.8000e+00
125,1.5000e+00,3.0000e+00,1.2500e+01,1.2777e+04,1.5315e+03,9.8750e+01,8.8900e+01,9.8000e+00
126,1.5000e+00,3.0000e+00,1.5000e+01,1.4400e+04,1.8351e+03,9.8420e+01,8.8600e+01,9.8000e+00
127,1.5000e+00,3.0000e+00,1.7500e+01,1.4400e+04,2.1387e+03,9.7330e+01,8.7700e+01,9.6000e+00
128,1.5000e+00,3.0000e+00,2.0000e+01,1.4400e+04,2.4423e+03,9.6030e+01,8.6500e+01,9.4000e+00
129,1.5000e+00,3.0000e+00,2.2500e+01,1.4400e+04,2.7459e+03,9.4580e+01,8.5300e+01,9.3000e+00
130,1.5000e+00,3.7500e+00,0.0000e+00,3.6871e+02,2.4570e+01,9.9990e+01,8.5100e+01,7.1000e+00
131,1.5000e+00,3.7500e+00,2.5000e+00,2.9497e+03,2.5465e+02,9.9820e+01,9.1800e+01,7.6000e+00
132,1.5000e+00,3.7500e+00,5.0000e+00,5.1017e+03,4.9511e+02,9.9650e+01,9.1800e+01,7.6000e+00
133,1.5000e+00,3.7500e+00,7.5000e+00,7.0137e+03,7.3576e+02,9.9470e+01,9.1700e+01,7.6000e+00
134,1.5000e+00,3.7500e+00,1.0000e+01,8.7680e+03,9.7646e+02,9.9300e+01,9.1600e+01,7.6000e+00
135,1.5000e+00,3.7500e+00,1.2500e+01,1.0405e+04,1.2172e+03,9.9120e+01,9.1400e+01,7.6000e+00
136,1.5000e+00,3.7500e+00,1.5000e+01,1.1948e+04,1.4579e+03,9.8950e+01,9.1300e+01,7.6000e+00
137,1.5000e+00,3.7500e+00,1.7500e+01,1.3414e+04,1.6987e+03,9.8770e+01,9.1200e+01,7.6000e+00
138,1.5000e+00,3.7500e+00,2.0000e+01,1.4400e+04,1.9394e+03,9.8440e+01,9.0900e+01,7.5000e+00
139,1.5000e+00,3.7500e+00,2.2500e+01,1.4400e+04,2.1801e+03,9.7620e+01,9.0100e+01,7.5000e+00
140,1.5000e+00,4.5000e+00,0.0000e+00,3.3283e+02,2.2730e+01,9.9990e+01,8.6400e+01,5.8000e+00
141,1.5000e+00,4.5000e+00,2.5000e+00,2.4633e+03,2.1329e+02,9.9860e+01,9.3300e+01,6.2000e+00
142,1.5000e+00,4.5000e+00,5.0000e+00,4.2699e+03,4.1241e+02,9.9730e+01,9.3300e+01,6.2000e+00
143,1.5000e+00,4.5000e+00,7.5000e+00,5.8895e+03,6.1169e+02,9.9590e+01,9.3200e+01,6.2000e+00
144,1.5000e+00,4.5000e+00,1.0000e+01,7.3858e+03,8.1102e+02,9.9460e+01,9.3200e+01,6.2000e+00
145,1.5000e+00,4.5000e+00,1.2500e+01,8.7900e+03,1.0104e+03,9.9330e+01,9.3100e+01,6.2000e+00
146,1.5000e+00,4.5000e+00,1.5000e+01,1.0121e+04,1.2097e+03,9.9190e+01,9.2900e+01,6.2000e+00
147,1.5000e+00,4.5000e+00,1.7500e+01,1.1390e+04,1.4091e+03,9.9060e+01,9.2800e+01,6.2000e+00
148,1.5000e+00,4.5000e+00,2.0000e+01,1.2608e+04,1.6084e+03,9.8920e+01,9.2700e+01,6.2000e+00
149,1.5000e+00,4.5000e+00,2.2500e+01,1.3779e+04,1.8078e+03,9.8790e+01,9.2600e+01,6.2000e+00
150,1.5000e+00,5.2500e+00,0.0000e+00,3.0887e+02,2.1430e+01,9.9990e+01,8.7300e+01,4.8000e+00
151,1.5000e+00,5.2500e+00,2.5000e+00,2.1249e+03,1.8402e+02,9.9890e+01,9.4300e+01,5.2000e+00
152,1.5000e+00,5.2500e+00,5.0000e+00,3.6842e+03,3.5390e+02,9.9780e+01,9.4300e+01,5.2000e+00
153,1.5000e+00,5.2500e+00,7.5000e+00,5.0909e+03,5.2393e+02,9.9670e+01,9.4300e+01,5.2000e+00
154,1.5000e+00,5.2500e+00,1.0000e+01,6.3967e+03,6.9399e+02,9.9560e+01,9.4200e+01,5.2000e+00
155,1.5000e+00,5.2500e+00,1.2500e+01,7.6270e+03,8.6406e+02,9.9450e+01,9.4100e+01,5.2000e+00
156,1.5000e+00,5.2500e+00,1.5000e+01,8.7970e+03,1.0342e+03,9.9350e+01,9.4100e+01,5.2000e+00
157,1.5000e+00,5.2500e+00,1.7500e+01,9.9168e+03,1.2042e+03,9.9240e+01,9.4000e+01,5.2000e+00
158,1.5000e+00,5.2500e+00,2.0000e+01,1.0994e+04,1.3743e+03,9.9130e+01,9.3900e+01,5.2000e+00
159,1.5000e+00,5.2500e+00,2.2500e+01,1.2033e+04,1.5444e+03,9.9020e+01,9.3800e+01,5.2000e+00
160,1.5000e+00,6.0000e+00,0.0000e+00,2.9179e+02,2.0450e+01,9.9990e+01,8.8000e+01,4.2000e+00
161,1.5000e+00,6.0000e+00,2.5000e+00,1.8760e+03,1.6222e+02,9.9910e+01,9.5000e+01,4.5000e+00
162,1.5000e+00,6.0000e+00,5.0000e+00,3.2496e+03,3.1035e+02,9.9820e+01,9.5100e+01,4.5000e+00
163,1.5000e+00,6.0000e+00,7.5000e+00,4.4947e+03,4.5859e+02,9.9720e+01,9.5100e+01,4.5000e+00
164,1.5000e+00,6.0000e+00,1.0000e+01,5.6546e+03,6.0686e+02,9.9630e+01,9.5000e+01,4.5000e+00
165,1.5000e+00,6.0000e+00,1.2500e+01,6.7507e+03,7.5515e+02,9.9540e+01,9.4900e+01,4.5000e+00
166,1.5000e+00,6.0000e+00,1.5000e+01,7.7957e+03,9.0344e+02,9.9450e+01,9.4900e+01,4.5000e+00
167,1.5000e+00,6.0000e+00,1.7500e+01,8.7982e+03,1.0517e+03,9.9360e+01,9.4800e+01,4.5000e+00
168,1.5000e+00,6.0000e+00,2.0000e+01,9.7642e+03,1.2000e+03,9.9270e+01,9.4700e+01,4.5000e+00
169,1.5000e+00,6.0000e+00,2.2500e+01,1.0698e+04,1.3483e+03,9.9180e+01,9.4600e+01,4.5000e+00
170,1.5000e+00,6.7500e+00,0.0000e+00,2.7903e+02,1.9700e+01,9.9990e+01,8.8500e+01,3.7000e+00
171,1.5000e+00,6.7500e+00,2.5000e+00,1.6852e+03,1.4538e+02,9.9920e+01,9.5500e+01,4.0000e+00
172,1.5000e+00,6.7500e+00,5.0000e+00,2.9141e+03,2.7667e+02,9.9840e+01,9.5700e+01,4.0000e+00
173,1.5000e+00,6.7500e+00,7.5000e+00,4.0324e+03,4.0807e+02,9.9760e+01,9.5600e+01,4.0000e+00
174,1.5000e+00,6.7500e+00,1.0000e+01,5.0770e+03,5.3950e+02,9.9680e+01,9.5600e+01,4.0000e+00
175,1.5000e+00,6.7500e+00,1.2500e+01,6.0665e+03,6.7094e+02,9.9610e+01,9.5500e+01,4.0000e+00
176,1.5000e+00,6.7500e+00,1.5000e+01,7.0118e+03,8.0238e+02,9.9530e+01,9.5500e+01,4.0000e+00
177,1.5000e+00,6.7500e+00,1.7500e+01,7.9202e+03,9.3383e+02,9.9450e+01,9.5400e+01,4.0000e+00
178,1.5000e+00,6.7500e+00,2.0000e+01,8.7970e+03,1.0653e+03,9.9370e+01,9.5300e+01,4.0000e+00
179,1.5000e+00,6.7500e+00,2.2500e+01,9.6461e+03,1.1967e+03,9.9290e+01,9.5300e+01,4.0000e+00
180,1.5000e+00,7.5000e+00,0.0000e+00,2.6914e+02,1.9100e+01,9.9990e+01,8.8900e+01,3.3000e+00
181,1.5000e+00,7.5000e+00,2.5000e+00,1.5341e+03,1.3196e+02,9.9930e+01,9.6000e+01,3.6000e+00
182,1.5000e+00,7.5000e+00,5.0000e+00,2.6471e+03,2.4985e+02,9.9860e+01,9.6100e+01,3.6000e+00
183,1.5000e+00,7.5000e+00,7.5000e+00,3.6631e+03,3.6784e+02,9.9790e+01,9.6100e+01,3.6000e+00
184,1.5000e+00,7.5000e+00,1.0000e+01,4.6144e+03,4.8586e+02,9.9720e+01,9.6100e+01,3.6000e+00
185,1.5000e+00,7.5000e+00,1.2500e+01,5.5172e+03,6.0389e+02,9.9650e+01,9.6000e+01,3.6000e+00
186,1.5000e+00,7.5000e+00,1.5000e+01,6.3809e+03,7.2192e+02,9.9590e+01,9.6000e+01,3.6000e+00
187,1.5000e+00,7.5000e+00,1.7500e+01,7.2123e+03,8.3995e+02,9.9520e+01,9.5900e+01,3.5000e+00
188,1.5000e+00,7.5000e+00,2.0000e+01,8.0157e+03,9.5799e+02,9.9450e+01,9.5800e+01,3.5000e+00
189,1.5000e+00,7.5000e+00,2.2500e+01,8.7948e+03,1.0760e+03,9.9380e+01,9.5800e+01,3.5000e+00
190,1.5000e+00,8.2500e+00,0.0000e+00,2.6126e+02,1.8610e+01,1.0000e+02,8.9200e+01,3.0000e+00
191,1.5000e+00,8.2500e+00,2.5000e+00,1.4114e+03,1.2103e+02,9.9940e+01,9.6300e+01,3.2000e+00
192,1.5000e+00,8.2500e+00,5.0000e+00,2.4294e+03,2.2800e+02,9.9880e+01,9.6500e+01,3.2000e+00
193,1.5000e+00,8.2500e+00,7.5000e+00,3.3612e+03,3.3506e+02,9.9810e+01,9.6500e+01,3.2000e+00
194,1.5000e+00,8.2500e+00,1.0000e+01,4.2353e+03,4.4215e+02,9.9750e+01,9.6400e+01,3.2000e+00
195,1.5000e+00,8.2500e+00,1.2500e+01,5.0660e+03,5.4924e+02,9.9690e+01,9.6400e+01,3.2000e+00
196,1.5000e+00,8.2500e+00,1.5000e+01,5.8620e+03,6.5634e+02,9.9630e+01,9.6300e+01,3.2000e+00
197,1.5000e+00,8.2500e+00,1.7500e+01,6.6290e+03,7.6344e+02,9.9570e+01,9.6300e+01,3.2000e+00
198,1.5000e+00,8.2500e+00,2.0000e+01,7.3711e+03,8.7054e+02,9.9510e+01,9.6200e+01,3.2000e+00
199,1.5000e+00,8.2500e+00,2.2500e+01,8.0914e+03,9.7765e+02,9.9450e+01,9.6200e+01,3.2000e+00
200,2.0000e+00,2.0000e+00,0.0000e+00,8.5490e+02,3.9600e+01,9.9950e+01,7.4400e+01,1.8700e+01
201,2.0000e+00,2.0000e+00,2.5000e+00,7.3094e+03,5.1425e+02,9.9230e+01,7.9100e+01,1.9700e+01
202,2.0000e+00,2.0000e+00,5.0000e+00,1.1959e+04,1.0138e+03,9.8510e+01,7.8800e+01,1.9500e+01
203,2.0000e+00,2.0000e+00,7.5000e+00,1.4400e+04,1.5140e+03,9.7200e+01,7.8100e+01,1.9000e+01
204,2.0000e+00,2.0000e+00,1.0000e+01,1.4400e+04,2.0142e+03,9.4550e+01,7.6400e+01,1.8100e+01
205,2.0000e+00,2.0000e+00,1.2500e+01,1.4400e+04,2.5145e+03,9.1680e+01,7.4500e+01,1.7100e+01
206,2.0000e+00,2.0000e+00,1.5000e+01,1.4400e+04,3.0148e+03,8.8810e+01,7.2600e+01,1.6200e+01
207,2.0000e+00,2.0000e+00,1.7500e+01,1.4400e+04,3.5152e+03,8.6020e+01,7.0600e+01,1.5300e+01
208,2.0000e+00,2.0000e+00,2.0000e+01,1.4400e+04,4.0155e+03,8.3350e+01,6.8700e+01,1.4500e+01
209,2.0000e+00,2.0000e+00,2.2500e+01,1.4400e+04,4.5159e+03,8.0810e+01,6.6900e+01,1.3800e+01
